Moselle;Metz;Hannaux, Frécot, Barral
Moselle;Metz, Woippy;Pré Génie*, Saint Eloy
Moselle;Fameck;Rémelange
Moselle;Thionville;La Côte des Roses
Moselle;Uckange;Quartier Ouest
Moselle;Yutz;Hexagone
Nièvre;Cosne-Cours-sur-Loire;Saint Laurent
Nièvre;Nevers;La Grande Pâture
Nièvre;Nevers;Le Banlay
Nièvre;Nevers;Les Bords de Loire
Nord;Douchy-les-Mines;La Liberté
Nord;Saint-Amand-les-Eaux;Moulin des Loups, Couture du Limon
Nord;Aniche;Champs de la Nation
Nord;Auby, Douai, Flers-en-Escrebieux, Roost-Warendin;Les Asturies*, Dorignies*, Pont de la Deûle *, Belleforière*
Nord;Douai, Sin-le-Noble, Waziers;La Clochette*,  Le Bivouac*, Notre Dame* 
Nord;Montigny-en-Ostrevent, Pecquencourt;Résidence Lambrecht, Cité du Moucheron, Cité Montigny, Cité des Agneaux, Cités Minières :
Nord;Pecquencourt;Cités Minières : Cité Lemay, Cité Sainte Marie, Cité Nouvelle (Camus)
Nord;Sin-le-Noble;Les Epis
Nord;Somain;Cité de Sessevalle
Nord;Dunkerque;Quartier Sud : Basse Ville, L'Ile Jeanty, Jeu de Mail, Carré de la Vieille, Banc Vert
Nord;Grande-Synthe;Europe, Albeck, Anciens Jardiniers
Nord;Saint-Pol-sur-Mer;Quartiers Ouest, Cité Liberté
Nord;Téteghem;Degroote
Nord;Hautmont;Les Cités
Nord;Haubourdin;Quartier du Parc
Nord;Hem;Beaumont
Nord;Hem, Roubaix;Longchamps, Trois Baudets, Trois Fermes, Lionderie, Nouveau Roubaix, Hauts Champs*
Nord;Lille;Bois Blancs
Nord;Lille;Fives
Nord;Lille, Loos;Faubourg de Béthune, Moulins, Lille Sud*, L'Epi de Soil*
Nord;Lille;Vieux Moulins
Nord;Lille;Wazemmes
Nord;Loos;Les Oliveaux
Nord;Mons-en-Baroeul;Nouveau Mons
Nord;Ostricourt;Cités Minières
Nord;Croix, Roubaix, Tourcoing;Bas Saint Pierre*, Roubaix Nord* : Epeule*, Trichon,  Alouette, Fresnoy, Mackellerie, Alma
Nord;Roubaix;Roubaix Est : Moulin, Potennerie, Sainte Elisabeth, Pile, Sartel Carihem, Trois Ponts
Nord;Seclin;La Mouchonnière
Nord;Tourcoing;La Bourgogne
Nord;Tourcoing;Le Pont Rompu
Nord;Wattrelos;Beaulieu
Nord;Feignies;Cité Cordonniers et Explorateurs
Nord;Jeumont;Lambreçon
Nord;Jeumont;Roquelles
Nord;Maubeuge;Epinette
Nord;Maubeuge;Provinces françaises
Nord;Maubeuge;Sous le Bois, Montplaisir
Nord;Anzin;Bleuse Borne
Nord;Anzin;Carpeaux
Nord;Aulnoy-lez-Valenciennes;ZAC de l'Aérodrome
Nord;Beuvrages;Cité Fénelon
Nord;Bruay-sur-l'Escaut, Escautpont;Cité Thiers*
Nord;Condé-sur-l'Escaut;Macou
Nord;Denain;Faubourg du Château
Nord;Marly, Valenciennes;La Briquette*, Faubourg de Cambrai
Nord;Quiévrechain;Blanc Misseron
Nord;Raismes;Cité Sabatier
Nord;Anzin, Valenciennes;Secteur intercommunal* : Dutemple, Saint Waast*, Chasse Royale, Coron des Cent Vingt*
Nord;Vieux-Condé;La Solitude
Oise;Compiègne;Quartier de la Victoire, ZUP 922, Clos des Roses
Oise;Méru;La Nacre
Oise;Noyon;Mont Saint Siméon
Oise;Beauvais;Argentine
Oise;Beauvais;Saint Jean
Oise;Creil, Montataire;Plateau Rouher*
Oise;Montataire;Les Martinets
Oise;Nogent-sur-Oise;Les Obiers, La Commanderie
Orne;Argentan;Saint Michel
Orne;Alençon;Courteille
Orne;Alençon;Perseigne
Orne;Flers;Saint Michel
Orne;Flers;Saint Sauveur, Pont Féron
Pas-de-Calais;Arras;Résidence Saint Pol, Blancs Monts, Beaudimont
Pas-de-Calais;Saint-Laurent-Blangy, Saint-Nicolas;ZAC*
Pas-de-Calais;Auchel;Cité Vandervelde
Pas-de-Calais;Béthune;Mont Liébaut
Pas-de-Calais;Bruay-la-Bussière, Haillicourt, Houdain;Salengro (Stade Parc)*, Cité 32 bis*, Cité 32 *
Pas-de-Calais;Auchel, Marles-les-Mines;Cité de Marles*
Pas-de-Calais;Boulogne-sur-Mer;Chemin Vert
Pas-de-Calais;Le Portel;ZAC Henriville, Cité de la Reconstruction
Pas-de-Calais;Calais;Le Beau Marais
Pas-de-Calais;Calais;Quartier du Fort Nieulay
Pas-de-Calais;Avion;Quartier de la République, Quartier du 4
Pas-de-Calais;Carvin;Plantigeons, Fosse 4, Eglissières
Pas-de-Calais;Courrières;Quartier du Rotois
Pas-de-Calais;Harnes;Cité d'Orient, Bellevue
Pas-de-Calais;Hénin-Beaumont;Quartier Sud Ouest (Jean Macé)
Pas-de-Calais;Hénin-Beaumont, Montigny-en-Gohelle;ZAC des 2 Villes*
Pas-de-Calais;Lens;Grande Résidence
Pas-de-Calais;Lens;Résidence Sellier, Cité du 4
Pas-de-Calais;Liévin;Cité Riaumont, Résidence Blum, Salengro
Pas-de-Calais;Liévin;Calonne, Marichelles, Europe
Pas-de-Calais;Liévin;Résidence Lebas, Vent de Bise, Rollencourt
Pas-de-Calais;Bully-les-Mines, Mazingarbe;Cité des Brebis*
Pas-de-Calais;Rouvroy;Cité de Nouméa
Pas-de-Calais;Sallaumines;Quartier des Blanches Laines
Puy-de-Dôme;Aulnat;Le Breuil, Les Chapelles
Puy-de-Dôme;Clermont-Ferrand;Croix de Neyrat, Quartiers Nord : Champratel, Les Vergnes, La Gauthière, La Plaine
Puy-de-Dôme;Clermont-Ferrand;Fontaine du Bac
Puy-de-Dôme;Clermont-Ferrand;Herbet
Puy-de-Dôme;Clermont-Ferrand;Saint Jacques
Puy-de-Dôme;Cournon-d'Auvergne;Quartier Sud
Puy-de-Dôme;Gerzat;Le Patural, Les Pègues
Puy-de-Dôme;Thiers;Les Jaiffours, Ville Haute
Pyrénées-Atlantiques;Hendaye;Les Joncaux
Pyrénées-Atlantiques;Mourenx;Quartier Neuf (Coueyto)
Pyrénées-Atlantiques;Bayonne;Plateau Saint Etienne
Pyrénées-Atlantiques;Pau;Berlioz
Pyrénées-Atlantiques;Pau;Dufau Tourasse
Pyrénées-Atlantiques;Pau;Ousse des Bois, Le Hameau
Hautes-Pyrénées;Tarbes;Quartier Nord : Laubadère
Hautes-Pyrénées;Tarbes;Solazur
Pyrénées-Orientales;Perpignan;Le Vernet
Pyrénées-Orientales;Perpignan;Saint Jacques, Saint Mathieu, La Réal
Bas-Rhin;Bischheim, Hoenheim, Schiltigheim,  Strasbourg;Grand Ried : At Home*, Ried*, Cité d'Ill*
Bas-Rhin;Lingolsheim;Tiergaertel (Les Hirondelles)
Bas-Rhin;Bischheim, Schiltigheim;Quartier des Ecrivains* (Cité Erstein)
Bas-Rhin;Strasbourg;Cronenbourg (Cité Nucléaire)
Bas-Rhin;Strasbourg;Elsau, Montagne Verte
Bas-Rhin;Strasbourg;Hautepierre
Bas-Rhin;Strasbourg;Koenigshoffen (Secteur Ouest)
Bas-Rhin;Strasbourg;Meinau  (Canardière Est)
Bas-Rhin;Strasbourg;Neuhof (Cités)
Bas-Rhin;Strasbourg;Port du Rhin
Haut-Rhin;Illzach;Chêne Hêtre
Haut-Rhin;Colmar;Europe
Haut-Rhin;Mulhouse;Briand Franklin
Haut-Rhin;Mulhouse;Brossolette (Bourtzwiller)
Haut-Rhin;Mulhouse;Drouot
Haut-Rhin;Mulhouse;Les Coteaux
Haut-Rhin;Mulhouse;Porte du Miroir
Haut-Rhin;Mulhouse;Wolf, Wagner, Vauban, Neppert
Haut-Rhin;Wittelsheim et Wittenheim;La Thur* et Markstein* (Bassin Potassique)
Rhône;Brignais;Les Pérouses
Rhône;Bron;Parilly
Rhône;Bron;Terraillon
